# t,f_exact,f_approx,error
7.6000000000000005,1998.1958951041190176,1957.9086323274887036,40.2872627766303140
7.7000000000000002,2208.3479918872089911,2163.0023150140800681,45.3456768731289230
7.8000000000000007,2440.6019776245007051,2389.5786805203347285,51.0232971041659766
7.9000000000000004,2697.2823282685099002,2639.8878892117236319,57.3944390567862683
8.0000000000000000,2980.9579870417283018,2916.4157870497106160,64.5421999920176859
8.0999999999999996,3294.4680752838403350,3221.9085915529381055,72.5594837309022296
8.2000000000000011,3640.9503073323585340,3559.4001633850684811,81.5501439472900529
8.3000000000000007,4023.8723938223129153,3932.2421343894407073,91.6302594328722080
8.4000000000000004,4447.0667476998578422,4344.1371912565755338,102.9295564432823085
8.5000000000000000,4914.7688402991343537,4799.1758453474603812,115.5929949516739725
8.5999999999999996,5431.6595913629780625,5301.8770538147145999,129.7825375482634627
